ano,codigo_municipio,nome_municipio,uf,taxa_aprovacao_fund,taxa_reprovacao_fund,taxa_abandono_fund,taxa_abandono_med
2023,1100015,Alta Floresta D'Oeste,RO,93.1,5.9,1,0.4
2023,1100023,Ariquemes,RO,94.2,4.9,0.9,4.7
2023,1100031,Cabixi,RO,98,2,0,0
2023,1100049,Cacoal,RO,99.1,0.7,0.2,3.3
2023,1100056,Cerejeiras,RO,97.2,2.6,0.2,0.7
2023,1100064,Colorado do Oeste,RO,98,1.6,0.4,0.1
2023,1100072,Corumbiara,RO,94.6,5.3,0.1,0.9
2023,1100080,Costa Marques,RO,91.4,8.2,0.4,0
2023,1100098,Espigão D'Oeste,RO,98.6,1,0.4,3
2023,1100106,Guajará-Mirim,RO,97,2.2,0.8,2
2023,1100114,Jaru,RO,98.6,1,"0,4",3
2023,1100122,Ji-Paraná,RO,97.9,1.7,0.4,2.6
2023,1100130,Machadinho D'Oeste,RO,92.8,5,2.2,5.9
2023,1100148,Nova Brasilândia D'Oeste,RO,99.3,0.7,0,0
2023,1100155,Ouro Preto do Oeste,RO,96,3.7,0.3,6
2023,1100189,Pimenta Bueno,RO,93.9,5.4,0.7,4.4
2023,1100205,Porto Velho,RO,95.7,3.3,1,4
2023,1100254,Presidente Médici,RO,97,2.9,0.1,0.9
2023,1100262,Rio Crespo,RO,95.7,4.3,0,1.6
2023,1100288,Rolim de Moura,RO,98.8,1.2,0,0.9
2023,1100296,Santa Luzia D'Oeste,RO,95.5,4.5,0,0
2023,1100304,Vilhena,RO,95.9,3.7,0.4,7.6
2023,1100320,São Miguel do Guaporé,RO,99.4,0.4,0.2,1.2
2023,1100338,Nova Mamoré,RO,92.9,5.7,1.4,2.2
2023,1100346,Alvorada D'Oeste,RO,97.9,1.6,0.5,0
2023,1100379,Alto Alegre dos Parecis,RO,92.1,6.3,1.6,6.8
2023,1100403,Alto Paraíso,RO,93.5,6.4,0.1,0.2
2023,1100452,Buritis,RO,97.2,1.5,1.3,12.4
2023,1100502,Novo Horizonte do Oeste,RO,98.8,1,0.2,0.2
2023,1100601,Cacaulândia,RO,95.7,2.9,1.4,2.1
2023,1100700,Campo Novo de Rondônia,ro,90.8,7.5,1.7,8.2
2023,1100809,Candeias do Jamari,RO,89.7,7.9,2.4,8.5
2023,1100908,Castanheiras,RO,93.5,6,0.5,0
2023,1100924,Chupinguaia,RO,98,1.7,0.3,8
2023,1100940,Cujubim,RO,92.4,6.4,1.2,11.3
2023,1101005,Governador Jorge Teixeira,RO,91.6,8,0.4,2
2023,1101104,Itapuã do Oeste,RO,97.6,0.2,2.2,19.5
2023,1101203,Ministro Andreazza,RO,96.7,2.8,0.5,1.6
2023,1101302,Mirante da Serra,RO,96.5,2.3,1.2,3.1
2023,1101401,Monte Negro,RO,96.8,3.1,0.1,1.3
2023,1101435,Nova União,RO,91.8,7.7,0.5,2.5
2023,1101450,Parecis,RO,92.7,6.6,0.7,2.9
2023,1101468,Pimenteiras do Oeste,RO,98.6,1.4,0,0
2023,1101476,Primavera de Rondônia,RO,99.3,0.7,0,4.2
2023,1101484,São Felipe D'Oeste,RO,97,2.2,0.8,10.6
2023,1101492,São Francisco do Guaporé,RO,99.1,0.6,0.3,5.8
